StartDate,EndDate,Duration (in seconds),ResponseId,Q2_1,Q3_7,Q3_15,Q3_16,Q3_17,Q4_2,Q4_8,Q5_5,Q5_9,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7_1,Q8_1,Q8_2,Q8_3,Q8_4,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q11_1,Q12_3,Q13_4,Q13_5,Q14,Q15_4,Q15_10,Q15_9,Q15_7,Q15_8,Q15_11,Q15_5,Q15_12,Q16,Q17,Q18,Q19,Q20,Q20_4_TEXT,Q21,Q22,Q23,Q23_11_TEXT,Q24,Q24_11_TEXT,Q25
2/22/2021 11:40:22,2/22/2021 11:44:34,251,R_3fK3oiY9Mc5DPSd,8.5,4,0,0,3,4,7,6.5,9,1,2,5,3,4,3.5,2,4,1,3,Soccer,2,1,4,3,1,1.5,5,4,World Language,6,3,7,1,2,8,4,5,Yes,"History,Math",,10,Male,,5,15 to 30 minutes,White,,Not sure/Prefer not to answer,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:31:10,2/22/2021 11:40:49,578,R_216eiKX0xpAY52e,8.5,10,1,17,1,5,8,7.1,12,1,4,3,2,5,7,4,2,1,3,volleyball,3,2,4,1,3,2.4,8,10,History,7,5,6,8,2,3,1,4,Yes,"Mind/Body,Science",I am really interested in the above mentioned electives and would love to take these classes next year or even in senior year.,10,Female,,4,Less than 15 minutes,Asian: East Asian,,Not sure/Prefer not to answer,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:37:01,2/22/2021 11:42:25,324,R_1Cmetxls8YyBw3h,8.1,20,0,12,3,4,5.7,7.6,9.2,1,2,3,4,5,10,2,3,1,4,sports,1,3,4,2,5,4,10,8,English,1,2,4,5,3,6,7,8,Yes,"History,Science",,11,Female,,4,15 to 30 minutes,"Asian: Indian or South/Southeast Asian,White",,Agnostic,,"College Degree (e.g., Associate's degree, Bachelor's degree)"
2/22/2021 11:32:48,2/22/2021 11:36:57,248,R_21nWaVpUazvMKwm,7.1,4,2,16,6,2,4.5,8.5,9.2,2,1,3,4,5,1.4,3,2,4,1,Mock Trial,4,3,1,2,1,4.1,8,8,Math,2,7,4,6,5,8,3,1,Yes,"English,Science",,12,Male,,4,Less than 15 minutes,"Asian: East Asian,White",,Agnostic,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:43:38,2/22/2021 12:04:10,1231,R_3pncXxrIPT8sv5C,6.8,8,0,3,14,3,5.5,7,8.5,2,1,4,3,5,4,2,4,1,3,after school sports practices,2,1,3,4,1,2.5,3,6,English,4,6,1,2,3,8,5,7,No,,,11,Female,,4,Less than 15 minutes,Asian: East Asian,,Buddhist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:44:24,2/22/2021 11:46:54,150,R_3MDrVLD0F6rg8rU,4.6,5,0,0,0,0.7,1,7.8,8.8,1,2,4,3,5,6.2,2,4,1,3,,3,2,4,1,0,2.2,10,2,Science,3,7,4,5,2,8,1,6,Yes,"Fine Arts,Math",,11,Male,,3 or fewer,Less than 15 minutes,White,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:37:48,2/22/2021 11:42:57,308,R_3I500Yn3ukWobCZ,5,20,5,17,5,3,5,9,10,2,1,5,4,3,9,2,4,1,3,,3,1,4,2,3,3.5,2,9,History,8,2,4,1,5,6,3,7,Yes,"History,Science",,12,Female,,4,Less than 15 minutes,Asian: East Asian,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:31:42,2/22/2021 11:41:08,566,R_2atwT1AQ4cpVZJC,1.8,2,3,1,3,2,5,7,10,2,1,4,3,5,2,1,4,3,2,,3,4,2,1,0,4,4,6,Science,8,4,6,5,3,7,1,2,Yes,"History,Science",,11,Female,,3 or fewer,60 minutes or more,"Asian: Indian or South/Southeast Asian,White",,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 15:52:06,2/22/2021 15:58:28,381,R_2tAmCfXf7uJHIAp,5.8,11,5,12,6,3,6,7,9,1,3,2,4,5,7.5,3,4,2,1,Theater,3,4,2,1,2,4.5,7,4,Math,8,6,1,5,4,7,2,3,No,,,9,Female,,4,15 to 30 minutes,White,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 16:30:27,2/22/2021 16:37:04,396,R_2y7UF6WFUGbDZzO,5,5,0,6,5,2.6,4,9.1,10.6,1,2,4,3,5,8,3,2,1,4,Men's Tennis Team,1,2,4,3,3,3.7,9,2,History,3,6,2,7,4,8,1,5,Yes,"Fine Arts,Science",,12,Male,,3 or fewer,Less than 15 minutes,White,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:34:57,2/22/2021 11:51:47,1009,R_85NWjpA4P0w85EJ,9.1,2,8,1,10,5,5.8,6.2,8.9,1,2,4,3,5,4.4,2,3,4,1,Theatre & Diversity Committee,1,2,4,3,2,0.5,1,10,History,7,3,4,1,6,8,2,5,Yes,"History,Science","radical politics, political philosophy, understanding modern imperialism, game theory",10,Non-binary,,3 or fewer,15 to 30 minutes,Asian: Indian or South/Southeast Asian,,Agnostic,,"College Degree (e.g., Associate's degree, Bachelor's degree)"
2/22/2021 11:30:45,2/22/2021 11:45:23,877,R_3qKZS5rnXF5QgJM,6,4,3,0,7,5,12,9.5,9.6,1,2,3,4,5,4.7,1,2,3,4,Sports,2,4,1,3,3,4.1,8,3,English,6,3,7,5,1,8,4,2,Yes,"Math,World Language",,10,Male,,6 or more,30 to 60 minutes,White,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:34:50,2/22/2021 11:38:58,248,R_3mAcXzI7kxmVetX,9.3,3,1,10,4,5,10.5,7,8,2,1,5,3,4,1,2,3,4,1,theater,1,2,4,3,2,2.5,3,3,History,7,5,1,2,4,8,3,6,Yes,"Fine Arts,History",,11,Female,,4,15 to 30 minutes,White,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:45:57,2/22/2021 14:18:21,9143,R_2VEW5KC7kOOecaT,6,8,2,10,2,5.6,5,7.5,9.9,1,2,3,4,5,5,1,4,3,2,theater because it takes the most time,1,2,4,3,3,2.5,5,4,Science,5,6,2,1,7,4,3,8,Yes,"Fine Arts,History",,9,Prefer not to answer,,4,15 to 30 minutes,White,,Not sure/Prefer not to answer,,Not sure/Prefer not to answer
2/22/2021 11:34:44,2/22/2021 11:38:42,238,R_3J4Y1c9sY30csmi,3,2,0,10,5,2,5,5,4,3,5,4,2,1,8,3,1,2,4,Robotics,4,2,1,3,2,1,10,5,English,2,7,5,4,3,6,1,8,No,"CADS,Science",,12,Male,,4,Less than 15 minutes,Asian: East Asian,,Not sure/Prefer not to answer,,"College Degree (e.g., Associate's degree, Bachelor's degree)"
2/22/2021 11:45:12,2/22/2021 11:53:13,480,R_1pzdTIByw6rUhH6,9.4,2,0,0,3,4.9,6.4,7,8.5,5,1,2,3,4,1,2,4,1,3,,4,3,2,1,1,1,9,0,English,5,4,6,1,2,7,8,3,Yes,"History,Science",,10,Male,,6 or more,15 to 30 minutes,White,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:37:59,2/22/2021 11:43:38,339,R_1oiCSdGddwvUSsz,7,0,0,0,7,2,3,8,10,1,2,3,4,5,5,3,4,1,2,Graphic Design,3,2,1,4,0,5,5,5,Science,1,2,3,4,5,6,8,7,No,,,9,Male,,5,60 minutes or more,Multiracial,,Buddhist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:36:40,2/22/2021 11:41:23,282,R_0rcYMwdLJYC7teN,6,1,1,8,2,1.2,2,9.5,10.5,1,5,4,2,3,5,1,2,4,3,Robotics,2,1,4,3,1,1,9,3,Math,1,6,5,4,2,8,3,7,Yes,"CADS,Science",,12,Male,,4,Less than 15 minutes,Asian: East Asian,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:35:47,2/22/2021 11:43:44,477,R_1JUUaKPNZtQ0Jcy,9,0,0,6,3,4.5,3.5,9,10,2,1,5,3,4,8.5,2,3,1,4,,3,1,2,4,2,1.9,2,10,History,5,3,8,1,6,7,4,2,No,,,12,Female,,4,Less than 15 minutes,"Middle Eastern,Prefer to self-describe",Arab or Middle Eastern/North African,Muslim,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:35:05,2/22/2021 11:39:40,274,R_2twYyiiwERTHQ8V,8.5,4,1,3,10,2,2,7.9,10.2,1,3,2,4,5,10,2,3,1,4,sailing,2,3,4,1,1,3,7,6,Math,2,5,6,1,7,8,3,4,Yes,"English,History",,9,Male,,4,Less than 15 minutes,White,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:35:58,2/22/2021 11:41:36,338,R_eSaY7g7mp2f3TnH,7.5,6,3,6,7,4,6.6,8,9,3,2,1,5,4,5.1,2,3,4,1,Student  government,1,3,4,2,5,3.4,3,7,Science,4,3,1,2,7,8,5,6,Yes,"History,Science",,11,Female,,4,Less than 15 minutes,Asian: East Asian,,Atheist,,"College Degree (e.g., Associate's degree, Bachelor's degree)"
2/22/2021 14:01:37,2/22/2021 22:54:05,31947,R_AFF1WaXwpwS0tup,2,3,0,1,4,4,6,5.5,12,1,4,2,3,5,8,2,4,3,1,Dance,1,2,4,3,2,1,7,4,History,7,5,2,8,3,6,1,4,Yes,"Mind/Body,Science",,9,Female,,4,15 to 30 minutes,Asian: East Asian,,Atheist,,Not sure/Prefer not to answer
2/22/2021 11:35:29,2/22/2021 11:41:52,383,R_4N07F9lci9FwhWN,4.4,4,3,2,8,3,5,6,8,1,2,3,4,5,7.2,2,4,1,3,sports!,1,4,2,3,3,2.5,7,8,Science,7,3,6,5,4,8,1,2,Yes,"History,World Language",,11,Female,,5,30 to 60 minutes,"Asian: East Asian,Middle Eastern",,Not sure/Prefer not to answer,,Not sure/Prefer not to answer
2/22/2021 11:40:50,2/22/2021 11:52:23,692,R_3fdz3uSBBLIYsrX,5,12,2,0,0,4,1,9,9,2,1,3,4,5,4,2,3,4,1,Crü,2,1,4,3,2,1,8,3,World Language,3,5,4,7,2,8,1,6,Yes,"English,Science",,9,Female,,4,Less than 15 minutes,"Asian: East Asian,Multiracial,White",,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:35:53,2/22/2021 11:39:57,243,R_e35xy5u2kXsY7V7,6,0,0,0,0,1.5,1.5,6.5,9,1,2,3,4,5,6,4,3,1,2,sporta,3,2,1,4,1,5,4,6,Math,7,1,5,2,6,4,8,3,Yes,"English,History",,9,Male,,4,30 to 60 minutes,Hispanic or Latina/o/x,,Agnostic,,High school diploma or G.E.D
2/22/2021 11:33:44,2/22/2021 23:07:57,41652,R_2Scc3aKQAtOGdpw,7,8,2,8,10,2.6,3.5,6.1,8.1,5,1,2,3,4,6.7,3,4,1,2,Tennis Team,2,3,1,4,0,2.8,1,7,Science,7,1,3,2,8,4,6,5,Yes,"English,History",,11,Female,,4,Less than 15 minutes,White,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"College Degree (e.g., Associate's degree, Bachelor's degree)"
2/22/2021 16:27:46,2/22/2021 16:30:34,167,R_6MDVhnu543oJiNj,9,3,0,20,9,3,6,6.5,9.6,2,1,5,3,4,10,3,1,4,2,Robotics,3,1,4,2,0,3.3,7,6,Math,1,4,5,6,2,7,3,8,Yes,"CADS,Science",AI in Design / BioTech,12,Male,,3 or fewer,15 to 30 minutes,"Asian: East Asian,Multiracial,White",,Agnostic,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:35:27,2/22/2021 11:40:00,273,R_10CNE3vVTpNoe2Y,8.6,8,1,10,4,3,4,8,8,1,3,5,2,4,5,2,3,4,1,Dance because I get to have the most agency and ability to put my ideas into action. Also Ms. Dillon is incredible in prioritizing Evening of Dance choreographers.,4,1,3,2,5,2,6,8,English,6,2,3,1,5,8,4,7,Yes,"Fine Arts,History",,12,Female,,3 or fewer,15 to 30 minutes,"Asian: East Asian,White",,Agnostic,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 19:56:49,2/22/2021 20:03:53,424,R_2XnxtmQ7v5EswZs,4,2,5,7,7,3,5,7,8,2,1,3,4,5,7,1,3,2,4,,1,3,2,4,2,2.5,8,5,Science,6,5,3,2,4,8,1,7,Yes,"History,Science",,12,Male,,5,Less than 15 minutes,"Asian: East Asian,Multiracial,White",,Agnostic,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:31:39,2/22/2021 11:46:23,883,R_25H4AjJfBZ3y72B,6,7,0,9,0,3,5,7.8,8.5,1,2,3,5,4,7.5,3,4,2,1,,1,2,4,3,4,3.5,9,8,English,8,3,4,6,5,7,1,2,Yes,"English,Science",,10,Male,,4,Less than 15 minutes,White,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:33:03,2/22/2021 11:40:39,455,R_SE3aPgKaaNVQofv,5.5,0,0,3,0,2,3,7.5,8.5,2,1,3,4,5,5,2,3,1,4,,3,1,2,4,0,5,10,10,Math,7,4,6,3,1,8,2,5,No,,,9,Male,,3 or fewer,15 to 30 minutes,White,,Not sure/Prefer not to answer,,Not sure/Prefer not to answer
2/22/2021 11:31:46,2/22/2021 11:42:02,615,R_1mRvcBTPBCSMpQO,7,14,0,4,8,4,4,7.5,8.5,1,2,4,3,5,5,3,4,1,2,Soccer,2,3,1,4,1,2.5,6,7,Science,7,4,6,3,5,8,1,2,Yes,"English,Science",,10,Female,,3 or fewer,Less than 15 minutes,Hispanic or Latina/o/x,,"Christian (Protestant, Catholic, Orthodox, etc.)",,Did not finish high school
2/22/2021 11:33:44,2/22/2021 11:43:39,595,R_3G2g5dCpwOgYYpr,9,3,0,10,4,2.7,6,7.8,9,1,2,3,4,5,0,4,1,3,2,Debate,2,1,3,4,0,2.5,6,8,Math,4,1,5,3,8,6,2,7,Yes,"English,Science",I would love literally any interdisciplinary course ,12,Male,,5,60 minutes or more,"Asian: East Asian,Multiracial,White,Prefer to self-describe",Why is there a distinction for Indian or South/Southeast Asian and East Asian but none for things like Africa and African-American and Afro-Latine or European Hispanic or things like this.,Not sure/Prefer not to answer,,"College Degree (e.g., Associate's degree, Bachelor's degree)"
2/22/2021 15:56:22,2/22/2021 16:01:25,302,R_2aIZeJPR8rYt1LI,8.5,4,0,8,10,2.5,6,8,10,4,1,2,3,5,6,3,4,1,2,Sports,2,3,1,4,2,2.5,1,7,Math,7,4,2,1,3,8,5,6,Yes,"Fine Arts,History",,9,Female,,4,Less than 15 minutes,White,,Jewish,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:36:25,2/22/2021 11:44:44,498,R_1mk3qzOVVli0ln0,6.5,2,3,6,3,4,7,6,8,2,1,3,5,4,5,2,3,4,1,Dance,1,3,4,2,1,4,10,0,Science,2,8,4,7,3,5,1,6,Yes,"CADS,Science",,12,Female,,3 or fewer,15 to 30 minutes,Asian: East Asian,,Not sure/Prefer not to answer,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:37:30,2/22/2021 11:43:14,343,R_a4YjWSRrgNCqGfT,6.3,20,3,10,0,1.5,3.4,9,9,1,3,2,4,5,8,2,3,1,4,Football,4,2,3,1,0,3.1,7,6,Math,3,6,7,5,1,8,4,2,Yes,"CADS,Math",,11,Male,,5,Less than 15 minutes,Prefer not to answer,,Not sure/Prefer not to answer,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:41:38,2/22/2021 11:47:12,334,R_2vYCVEa3Dst43il,3.6,1,4,1,4,3.5,6,8,8.5,1,2,4,5,3,3.9,3,4,1,2,,3,4,2,1,2,2.1,10,0,English,6,3,4,8,2,7,1,5,Yes,"Math,Science",,11,Female,,3 or fewer,Less than 15 minutes,Asian: East Asian,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:36:19,2/22/2021 11:38:40,140,R_pfKgj1T74hKEIA9,7.5,12,2,14,4,3.5,4,7.5,10,2,1,4,5,3,4,2,3,1,4,Varsity Football,4,3,1,2,2,2,7,3,English,1,4,8,2,3,7,5,6,Yes,"History,Science",History of Science would be super cool,12,Male,,5,Less than 15 minutes,White,,"Christian (Protestant, Catholic, Orthodox, etc.)",,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:35:26,2/22/2021 11:40:55,329,R_31u7TkYthgnW8Zq,7,3,2,10,5,4,6,7,10,1,2,4,3,5,6.3,2,3,1,4,Sports,3,4,1,2,1,4,7,7,Science,5,1,4,3,6,8,2,7,No,,,9,Male,,3 or fewer,Less than 15 minutes,Asian: East Asian,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:35:59,2/22/2021 11:41:22,323,R_5tkG3q52MPyYedP,7,3,0,1,6,3,5,7.5,8,1,2,4,5,3,3.5,1,2,3,4,,2,4,3,1,2,2.5,10,5,CADS,2,6,5,7,1,8,3,4,Yes,"CADS,Science",,11,Female,,4,30 to 60 minutes,White,,Jewish,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 11:36:37,2/22/2021 11:45:58,561,R_25KrHtoECNRd4V0,8,8,1,7,7,2,5,10,9.6,2,1,3,4,5,7,2,4,3,1,Theater!,4,3,1,2,3,3,6,6,English,7,5,1,3,6,4,2,8,Yes,"Fine Arts,Science",,9,Female,,3 or fewer,15 to 30 minutes,White,,Atheist,,"Graduate/Professional Degree (e.g., MA, MS, PhD, JD, MD, MBA, etc.)"
2/22/2021 23:22:15,2/22/2021 23:27:19,303,R_DwV98vgsaLiqzsJ,7.4,3,2,4,18,2,3,6.5,8,1,3,2,4,5,6.5,2,4,1,3,,1,3,2,4,1,1.5,2,5,Math,1,3,5,2,6,8,4,7,No,,,12,Male,,4,Less than 15 minutes,White,,Agnostic,,"College Degree (e.g., Associate's degree, Bachelor's degree)"
