StartDate,EndDate,Duration (in seconds),ResponseId,Q9,Q20_4_TEXT,Q23_11_TEXT,Q24_11_TEXT
2/22/2021 11:24:16,2/22/2021 11:38:52,876,R_1n2wA2wXzT34FsW,Basketball,,,
2/22/2021 11:34:11,2/22/2021 11:38:55,284,R_OlNy3oMjh5RgmxH,Clubs,,,
2/22/2021 11:33:11,2/22/2021 11:39:04,352,R_a3i5E1j7WjDxtF7,Robotics,,,
2/22/2021 11:34:55,2/22/2021 11:39:09,253,R_3J3PmdeJXOWq48R,Clubs,,,
2/22/2021 11:34:55,2/22/2021 11:39:11,256,R_27dTcXZX5qRxniP,The clubs period,,,
2/22/2021 11:36:08,2/22/2021 11:39:13,185,R_1QuZJpeCrPHbJUi,"Coding, Computer Science",,,Jain
2/22/2021 11:35:27,2/22/2021 11:39:14,227,R_sta52ZCp4xiQKAx,Sports,,,
2/22/2021 11:35:22,2/22/2021 11:39:20,237,R_dnlzjzVihaQ1cgF,Probably clubs,,,
2/22/2021 11:27:48,2/22/2021 11:39:22,694,R_2SpG9NWvpcE7MH9,I don't have one,,,I don't affiliate with any religion
2/22/2021 11:36:17,2/22/2021 11:39:33,196,R_vNfjiSN06GHw9Tb,Sports,,,
2/22/2021 11:30:15,2/22/2021 11:39:37,562,R_1pm0bBjgYc3Smof,Fine arts,,,
2/22/2021 11:35:48,2/22/2021 11:39:40,231,R_BRkkVvZP0H7PZex,Sports,,,
2/22/2021 11:35:48,2/22/2021 11:39:52,243,R_2s1iHgeT4iaSQby,,,,
2/22/2021 11:34:29,2/22/2021 11:40:02,333,R_1lymqjZfe1oryXM,Visual arts! ,,,
2/22/2021 11:34:35,2/22/2021 11:40:04,328,R_7OqFOqSRV5C2tax,Club-period Clubs,,,
2/22/2021 11:34:18,2/22/2021 11:40:23,365,R_2b47fJOGsst2m76,The musical/play because you have a bond with the cast. ,,,
2/22/2021 11:35:37,2/22/2021 11:40:24,286,R_28zG1CbCRVC6R3n,theater,,,
2/22/2021 11:36:15,2/22/2021 11:40:26,251,R_2ANIQzL8cBk216e,,,,
2/22/2021 11:35:33,2/22/2021 11:40:31,298,R_3L0TTawf30hU4W7,,,,
2/22/2021 11:34:17,2/22/2021 11:40:32,375,R_eFnlR91jN9wtDl7,Basketball,,,
2/22/2021 11:35:31,2/22/2021 11:40:41,309,R_3vXR7n0F0tt86EV,"Musicals, Plays, Sports games",,,
2/22/2021 11:35:36,2/22/2021 11:40:46,309,R_Q0bEzFqIV11aUzT,,,,
2/22/2021 11:34:38,2/22/2021 11:40:46,367,R_2pYwKVmFAx4OR14,Rock pop and jazz club,,,
2/22/2021 11:32:36,2/22/2021 11:40:50,493,R_3NxKCiEUvhtJ40M,Clubs,,Mixed,
2/22/2021 11:35:41,2/22/2021 11:40:53,311,R_sHwA80Ts76HvsGt,Drama,,,
2/22/2021 11:30:53,2/22/2021 11:40:56,603,R_pT3n9Vi2u6MFYNH,Clubs,,,"I don't specifically have a religion, but mostly Pagan you could say. "
2/22/2021 11:33:42,2/22/2021 11:40:59,437,R_28CiuzBeRHZbmdU,Clubs,,,Non-Religious
2/22/2021 11:35:26,2/22/2021 11:40:59,333,R_ReEC7QUSIwIzmH7,Plays and Musicals,,,
2/22/2021 11:36:57,2/22/2021 11:41:08,250,R_2wuHDztfirN8T10,Sports,,,
2/22/2021 11:35:56,2/22/2021 11:41:09,312,R_2PjRL7XNHV2i5QK,Musical rehearsals ,,,
2/22/2021 11:35:58,2/22/2021 11:41:10,312,R_2cCqfUorWn1fE0x,Musical/Play rehearsals,,,
2/22/2021 11:22:50,2/22/2021 11:41:23,1113,R_3nGU2RNY1Ribzyw,Musical,,Taiwanese ,
2/22/2021 11:35:35,2/22/2021 11:41:34,358,R_2dN2w7omWUVt2W3,Musical practice ,,,
2/22/2021 11:35:58,2/22/2021 11:41:34,336,R_sCdT7ENis1LNGTL,choir or debate maybe,,,
2/22/2021 11:35:57,2/22/2021 11:41:41,343,R_Os9PlEO4cHmW8O5,SPORTS,,,
2/22/2021 11:33:38,2/22/2021 11:41:41,483,R_2wnptwcdJKXMOad,Social's for the grades,,,
2/22/2021 11:34:52,2/22/2021 11:41:46,413,R_3qqVNSTUR091PNo,"Cross country, or the musicals/plays",,,"I don’t go to church or temple, but I celebrate Christmas and Easter!!"
2/22/2021 11:34:54,2/22/2021 11:41:52,418,R_plqIQFzmbtonmWB,Debate team,,,
2/22/2021 11:37:45,2/22/2021 11:41:53,247,R_6DuRIhIwYTTJ8xH,Playing basketball in the gym after school.,,,
2/22/2021 11:24:48,2/22/2021 11:41:56,1027,R_2WO21beqWvfJXFZ,POP,,Chinese and Indian ,
2/22/2021 11:35:39,2/22/2021 11:42:00,380,R_ALKXsj1f32C2Eal,I very much enjoy the clubs (during school) we have. ,,,
2/22/2021 11:35:27,2/22/2021 11:42:03,395,R_2tbVBWjGHD01mwl,Debate,,,
2/22/2021 11:35:51,2/22/2021 11:42:10,378,R_1IKj3r80QPtqVc5,,,,
2/22/2021 11:37:51,2/22/2021 11:42:11,259,R_1mejPCDRM4zKYhL,The Musicals/Plays,,,
2/22/2021 11:36:06,2/22/2021 11:42:14,367,R_2B5MpXcj8t0TJXW,,,,
2/22/2021 11:35:33,2/22/2021 11:42:16,403,R_1ml5N0PqTGavQrN,,,,
2/22/2021 11:35:27,2/22/2021 11:42:21,413,R_0GqBmiiKkjsgJR7,Sports games ,,,
2/22/2021 11:34:58,2/22/2021 11:42:23,445,R_2zjdBAPYGcu7Rkl,Soccer,,,
2/22/2021 11:35:35,2/22/2021 11:42:24,409,R_1mUXzbk0AyWFQgZ,After-School Programming/Robotics/Engineering ,,,
2/22/2021 11:34:57,2/22/2021 11:42:30,452,R_2dyfxhu0Op3pbCE,clubs,,,
2/22/2021 11:36:02,2/22/2021 11:42:32,390,R_2t4Zs4T4olQxIrP,Football,,,
2/22/2021 11:34:24,2/22/2021 11:42:38,493,R_3phcDHT0tE3m1TO,Sports,,,
2/22/2021 11:36:15,2/22/2021 11:42:39,383,R_32PEQqVFnEM84DF,Clubs-GSA,Not sure right now,,
2/22/2021 11:36:15,2/22/2021 11:42:40,384,R_2P0aIcAeYTWzM80,the play and musical,,,
2/22/2021 11:35:35,2/22/2021 11:42:43,428,R_RPP1ylhPsJYpq0N,Soccer,,,
2/22/2021 11:35:56,2/22/2021 11:42:46,410,R_1N98iP3UKMZphiU,,,,
2/22/2021 11:36:50,2/22/2021 11:42:54,364,R_2xJlwPIjUKK7r7R,Debate,,European East Asian American,
2/22/2021 11:34:20,2/22/2021 11:42:57,516,R_3j1hkjJHUD89a91,Clubs,,,
2/22/2021 11:37:08,2/22/2021 11:43:00,352,R_1M6W9OKZ5VYa89b,Theater,,,
2/22/2021 11:31:28,2/22/2021 11:43:09,700,R_stcZRG9psjM92r7,,,,
2/22/2021 11:36:54,2/22/2021 11:43:17,383,R_1oheSEg47iEL0MM,,,,
2/22/2021 11:35:43,2/22/2021 11:43:19,455,R_2s6IzlYMPMw22vT,Fine Arts events,,,
2/22/2021 11:36:11,2/22/2021 11:43:22,430,R_3KDfvOrkT0lCtFe,Clubs,,,
2/22/2021 11:37:43,2/22/2021 11:43:29,346,R_23geKWItVxjrcG4,Sports,,,
2/22/2021 11:36:35,2/22/2021 11:43:34,419,R_31bmgjHB8juKOy6,Clubs,,,
2/22/2021 11:35:36,2/22/2021 11:43:46,490,R_1Qm8RXlFRFqiwcM,Art,,,
2/22/2021 11:35:39,2/22/2021 11:43:47,487,R_2xRXxHrJ5EPb0CN,💩 💩 💩 ,Barfing emoji 🤮 🤮 ,Rwandan,🤷‍♀️ 
2/22/2021 11:35:47,2/22/2021 11:43:48,481,R_barh92O5fXZIKqt,Sports.,,,
2/22/2021 11:37:35,2/22/2021 11:43:52,376,R_2CIWhLRJwDEadBA,The basketball team,,,"I wouldn’t call myself an atheist, I don’t belive specifically in any major religions but I do consider myself spiritual "
2/22/2021 11:35:12,2/22/2021 11:43:54,521,R_1DOPJmAnTKK7xan,Clubs,,,
2/22/2021 11:37:29,2/22/2021 11:43:55,385,R_3OuACuPlZKi9xp7,Clubs,,,
2/22/2021 11:36:55,2/22/2021 11:43:58,423,R_0fHoZTMllzYGopP,,,Asian American,None
2/22/2021 11:36:21,2/22/2021 11:44:20,478,R_3JEP8vjZXuvHVLQ,Sports,,,
2/22/2021 11:35:03,2/22/2021 11:44:24,561,R_1LnzUhTAn19kzhT,Visual Arts - drawing ,,Philipino,
2/22/2021 11:37:27,2/22/2021 11:44:33,425,R_eLp1hscudvOcnJf,After-School Plays & Musicals,,,
2/22/2021 11:37:19,2/22/2021 11:44:36,436,R_3Kr7ZtHWHyJ1gP2,Golf,,,
2/22/2021 11:35:31,2/22/2021 11:44:40,548,R_DeE1LPje6UxKzbr,AMC 8 Math Quiz,,,
2/22/2021 11:35:31,2/22/2021 11:44:43,552,R_2v3beuz5ypYtEmw,I liked the discussion club. It’s good to talk to people.,,,"It’s tricky. My family is mostly Jewish and I practice some Jewish traditions, but I don’t believe in got or prayer or the Torah or anything like that so I guess mostly atheist."
2/22/2021 11:35:41,2/22/2021 11:44:43,542,R_r8z24Gu594bjGqB,Tennis,,,
2/22/2021 11:35:39,2/22/2021 11:44:55,555,R_3KupDSxb41XuNwv,Debate and Computer Science,,,
2/22/2021 11:37:45,2/22/2021 11:44:59,433,R_3G9xJDHXFq4Ysta,Sports,,,
2/22/2021 11:35:46,2/22/2021 11:45:00,553,R_e5Mk3orhY8qSjMl,Clubs!,,,
2/22/2021 11:38:55,2/22/2021 11:45:05,369,R_2P0zfGXUgJQoVxX,,,,
2/22/2021 11:35:41,2/22/2021 11:45:07,566,R_3qyflyTXAu0vPqS,Clubs because its like a time to chill in my perspective and to hangout together.,,,
2/22/2021 11:35:00,2/22/2021 11:45:11,610,R_332wJKYaGj0iGOB,The seasonal plays,,,
2/22/2021 11:34:49,2/22/2021 11:45:13,623,R_3Ojk8dSZx6au2TB,PE,,,
2/22/2021 11:40:04,2/22/2021 11:45:21,317,R_2bPqcCQaJA156LK,sports,,,
2/22/2021 11:35:33,2/22/2021 11:45:24,590,R_2t08HH1ztj71v8k,Sports,,,None
2/22/2021 11:34:59,2/22/2021 11:45:25,626,R_2TLh7vutnTfl8DL,Clubs,,,
2/22/2021 11:36:01,2/22/2021 11:45:38,576,R_2Bm9LWIYEEOf7hY,Sports,,,
2/22/2021 11:37:43,2/22/2021 11:45:40,477,R_3ele0ID6Jw0yef4,Sleeping,,,
2/22/2021 11:36:45,2/22/2021 11:45:44,539,R_31hAYiC4Cmrkpoy,Not sure,,,
2/22/2021 11:37:39,2/22/2021 11:45:52,493,R_1o5dW4V2DpBLwWi,SPORTS,,,
2/22/2021 11:37:00,2/22/2021 11:46:05,544,R_33sg2BSCi6bi3Ef,The basketball seasons have been great.,,,
2/22/2021 11:36:07,2/22/2021 11:46:21,614,R_278QMbaQ7CiziCm,Debate after-school ,,,
2/22/2021 11:40:00,2/22/2021 11:46:29,389,R_3ew68wETldRA7ik,Musical/plays,,,
2/22/2021 11:35:56,2/22/2021 11:47:11,675,R_3NBRdD5I0BAT6lg,The Theater is really engaging but it is a lot.,,Filipino ,Episcopal 
2/22/2021 11:36:58,2/22/2021 11:47:38,640,R_3L0AAXK0e7CjQZ7,Cross Country,,,
2/22/2021 11:34:59,2/22/2021 11:48:14,795,R_1LbqUe8xEvUCRkn,sports,,,
2/22/2021 11:37:57,2/22/2021 11:50:11,734,R_SC3iTn2IKSpHzEZ,"Even though we haven’t done this yet, tennis is my favorite sport so probably tennis ;) (or clubs are pretty fun too)",,,
2/22/2021 11:25:27,2/22/2021 11:55:15,1787,R_10BkT9D5is6iPde,Sports,,,
2/22/2021 11:47:42,2/22/2021 11:55:51,488,R_3QQK4y84dgduwFc,"Dances, musicals/plays",,,
2/22/2021 12:01:40,2/22/2021 12:05:24,224,R_3n6JN31nc7ApFzq,none,,,none
2/22/2021 12:02:09,2/22/2021 12:07:45,336,R_1gu1nbgGUYY1978,Coding,,,
2/22/2021 12:05:20,2/22/2021 12:11:55,394,R_2rkCS0z08kM1SyL,"Play, musical",,,
2/22/2021 11:23:44,2/22/2021 12:12:33,2929,R_XTVMU1voCo3aag9,Instrumentals should be an extracurricular,,,
2/22/2021 11:36:00,2/22/2021 12:23:07,2827,R_29rNvyNV1keAskF,Sports ,,,
2/22/2021 11:24:19,2/22/2021 12:28:06,3827,R_2aJ3K55ZXmAMCYh,The play,,,
2/22/2021 12:08:06,2/22/2021 12:31:04,1378,R_xDG7ZmaoiC9cLfz,I love the Bullet Journaling (sorry if I spelled that wrong) Club!,,,
2/22/2021 11:37:50,2/22/2021 12:35:48,3478,R_0SWjlcyaHFUm5Rn,golf,,,
2/22/2021 11:36:07,2/22/2021 12:47:49,4301,R_RtdELWPcmxqvy3D,Drawing ,,,
2/22/2021 11:35:30,2/22/2021 12:55:46,4815,R_6m7Vs7JPfZTbj1L,Robotics ,,,
2/22/2021 11:38:54,2/22/2021 13:03:29,5074,R_3KILQtcPss1sA5f,Flag Football,,,
2/22/2021 11:35:27,2/22/2021 13:43:53,7705,R_24epvjo52Trss2p,Debate,,,
2/22/2021 13:57:29,2/22/2021 14:01:57,268,R_12sbJy6Ke1Bv55A,Fine Arts Rotation,,,
2/22/2021 11:25:58,2/22/2021 14:06:41,9643,R_3FXSczGAErn1k2W,,,,
2/22/2021 11:25:44,2/22/2021 15:00:31,12887,R_2TGXeEZUacbhaQS,Football,,,
2/22/2021 15:19:23,2/22/2021 15:22:39,196,R_3EbtQblHRXHLnO6,Visual Arts,,,
2/22/2021 11:35:16,2/22/2021 15:38:27,14590,R_1k0nsYiAsteOCd3,Debate Club,,,
2/22/2021 15:51:56,2/22/2021 15:55:34,218,R_3Jl0XCxH4ELT9U5,,,,
2/22/2021 15:51:30,2/22/2021 15:58:06,396,R_3kA5O5FYPBlK8Sb,Clubs,,,
2/22/2021 15:50:43,2/22/2021 15:58:16,453,R_32KH7V0ci477vX7,"Drama, and dance",,,
2/22/2021 15:52:52,2/22/2021 15:58:44,352,R_2ARoPnGYmXGQm8y,Clubs Period,,,
2/22/2021 15:58:04,2/22/2021 16:04:50,405,R_x4VxhpvuP7Wvyut,Football,,Amerasian,
2/22/2021 15:54:09,2/22/2021 16:06:55,765,R_2ti0RZYW4v3f0pv,Clubs (In School),,,
2/22/2021 16:02:08,2/22/2021 16:08:51,403,R_2ahNuHOARTdxt9X,Debate,,,
2/22/2021 15:18:22,2/22/2021 17:23:53,7531,R_PS2FNo9xkYYSpFf, ,,,
2/22/2021 17:21:55,2/22/2021 17:33:24,689,R_28PcCn6sqHROgIB,Coding and robotics ,,,
2/22/2021 17:44:49,2/22/2021 17:50:47,358,R_1dFYC0KQdABc8t6,Sports,,,None
2/22/2021 18:18:33,2/22/2021 18:27:45,551,R_3imzjMM8UGPkYFy,In person sport are usually what gets me engaged,,,
2/22/2021 18:30:25,2/22/2021 18:34:09,223,R_1Fh7i44e7codI71,,,,
2/22/2021 18:48:16,2/22/2021 19:03:07,891,R_1ZVpvXmFxq5saCB,Nothing,,,
2/22/2021 19:03:52,2/22/2021 19:10:09,377,R_w11W7C8AUoLpTuF,Sports.,,,
2/22/2021 19:17:36,2/22/2021 19:28:13,636,R_10VKktpcCe7hy8v,N/A.,,,
2/22/2021 19:43:52,2/22/2021 19:48:44,292,R_2S2hoDajuP8w30j,,,,
2/22/2021 15:53:46,2/22/2021 21:35:09,20482,R_3PSuSUubpm1dB6I,Fine arts,,,
2/22/2021 23:35:54,2/22/2021 23:40:10,255,R_2SBLuXWS2g3GlHh,Sports,,,
2/22/2021 23:54:41,2/23/2021 0:01:21,399,R_OHUWPVtKz00o7Xb,Debate,,,
